,Entity,Code,Year,Annual CO2 emissions (per capita),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
315,Azerbaijan,AZE,2020,3.7203,0.0472,0.0951,1.068,0.098218356
354,Bangladesh,BGD,2009,0.3368,0.0251,0.0051,0.417,0.001
355,Bangladesh,BGD,2010,0.3659,0.0443,0.0051,0.729,0.002
356,Bangladesh,BGD,2011,0.3789,0.0584,0.0051,0.872,0.003
357,Bangladesh,BGD,2012,0.4019,0.0909,0.0051,0.777,0.004
358,Bangladesh,BGD,2013,0.4044,0.129563,0.005081,0.728378728,0.004993
359,Bangladesh,BGD,2014,0.427,0.166947,0.005081,0.566453438,0.006015
360,Bangladesh,BGD,2015,0.469,0.198389,0.005081,0.898146455,0.002682
361,Bangladesh,BGD,2016,0.4841,0.219999,0.005081,0.884632595,0.002877
362,Bangladesh,BGD,2017,0.5069,0.253361,0.005081,1.029528088,0.002877
363,Bangladesh,BGD,2018,0.5118,0.275068,0.005081,0.865411112,0.002877
364,Bangladesh,BGD,2019,0.5778,0.349231785,0.005081,0.823091189,0.002877
365,Bangladesh,BGD,2020,0.5637,0.412784892,0.005081,0.700670737,0.003035367
394,Belarus,BLR,2013,6.7106,0.0004,0.008,0.138,0.082
395,Belarus,BLR,2014,6.6381,0.002,0.009,0.121,0.079
396,Belarus,BLR,2015,6.1484,0.009,0.039,0.111,0.094
397,Belarus,BLR,2016,6.3364,0.026,0.073,0.142,0.094
398,Belarus,BLR,2017,6.3613,0.089,0.097,0.406,0.106
399,Belarus,BLR,2018,6.4492,0.118,0.099,0.324,0.109
400,Belarus,BLR,2019,6.4558,0.179,0.166,0.351,0.11
401,Belarus,BLR,2020,6.0793,0.181743295,0.183883978,0.353340883,0.11206379
441,Belgium,BEL,2004,12.2881,0.001,0.142,0.317,1.037
442,Belgium,BEL,2005,11.9126,0.001,0.227,0.288,1.59
443,Belgium,BEL,2006,11.6657,0.002,0.366,0.359,2.225
444,Belgium,BEL,2007,11.2623,0.006,0.491,0.389,2.6
445,Belgium,BEL,2008,11.1498,0.042,0.637,0.41,3.329
446,Belgium,BEL,2009,9.9183,0.166,0.996,0.328,3.949
447,Belgium,BEL,2010,10.4714,0.56,1.292,0.312,4.330428
448,Belgium,BEL,2011,9.5358,1.169,2.312,0.196,4.699934
449,Belgium,BEL,2012,9.2361,2.148,2.751,0.357,5.202093
450,Belgium,BEL,2013,9.2032,2.644,3.665,0.38,4.98362
451,Belgium,BEL,2014,8.6325,2.8862,4.6153,0.2952,4.4732
452,Belgium,BEL,2015,8.9525,3.0563,5.574,0.3184,5.5637
453,Belgium,BEL,2016,8.7959,3.0952,5.4377,0.37,5.4499
454,Belgium,BEL,2017,8.7084,3.3076,6.5137,0.2701,5.777
455,Belgium,BEL,2018,8.7289,3.9029,7.4647,0.3135,5.4708
456,Belgium,BEL,2019,8.644,4.247,9.7256,0.302,5.2409
457,Belgium,BEL,2020,7.2262,5.137378997,13.03086657,0.281926695,5.331659266
505,Brazil,BRA,2012,2.5005,0.00098,5.05,415.3421755,35.76567086
506,Brazil,BRA,2013,2.6484,0.004793593,6.575862737,390.992014,40.97184609
507,Brazil,BRA,2014,2.7515,0.016081802,12.21025167,373.4390605,47.07918279
508,Brazil,BRA,2015,2.5889,0.058917412,21.62570216,359.7428082,49.88032083
509,Brazil,BRA,2016,2.3901,0.085260592,33.488872,380.9109424,51.33469956
510,Brazil,BRA,2017,2.4094,0.831813401,42.37325825,370.9064564,52.91210534
511,Brazil,BRA,2018,2.3091,3.461434834,48.47514121,388.9710759,54.38223437
512,Brazil,BRA,2019,2.3018,6.654579083,55.98562168,397.8770566,54.92087661
513,Brazil,BRA,2020,2.1988,7.958688663,57.01361507,396.7985,55.36807301
558,Bulgaria,BGR,2009,6.1303,0.003,0.237,3.47,0.008
559,Bulgaria,BGR,2010,6.4459,0.015,0.681,5.057,0.035
560,Bulgaria,BGR,2011,7.2068,0.101,0.861,2.917,0.056
561,Bulgaria,BGR,2012,6.5913,0.814,1.221,3.226,0.066
562,Bulgaria,BGR,2013,5.8546,1.361,1.374,4.08,0.111713
563,Bulgaria,BGR,2014,6.2406,1.252,1.331,4.605,0.200792
