,Unnamed: 0_x,Entity,Code,Year,Annual CO2 emissions (per capita),Renewable electricity per capita (kWh),Unnamed: 0_y,Renewables (% sub energy),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
138,673,Belgium,BEL,2016,8.7959,1255.019,453,5.744,3.0952,5.4377,0.37,5.4499
139,674,Belgium,BEL,2017,8.7084,1383.568,454,6.233,3.3076,6.5137,0.2701,5.777
140,675,Belgium,BEL,2018,8.7289,1495.361,455,6.684,3.9029,7.4647,0.3135,5.4708
141,676,Belgium,BEL,2019,8.644,1686.407,456,7.254,4.247,9.7256,0.302,5.2409
142,677,Belgium,BEL,2020,7.2262,2019.912,457,10.745,5.137378997,13.03086657,0.281926695,5.331659266
143,851,Brazil,BRA,2012,2.5005,2261.057,505,40.513,0.00098,5.05,415.3421755,35.76567086
144,852,Brazil,BRA,2013,2.6484,2153.247,506,38.212,0.004793593,6.575862737,390.992014,40.97184609
145,853,Brazil,BRA,2014,2.7515,2105.801,507,37.224,0.016081802,12.21025167,373.4390605,47.07918279
146,854,Brazil,BRA,2015,2.5889,2081.168,508,38.448,0.058917412,21.62570216,359.7428082,49.88032083
147,855,Brazil,BRA,2016,2.3901,2230.565,509,41.315,0.085260592,33.488872,380.9109424,51.33469956
148,856,Brazil,BRA,2017,2.4094,2217.685,510,40.973,0.831813401,42.37325825,370.9064564,52.91210534
149,857,Brazil,BRA,2018,2.3091,2334.375,511,43.544,3.461434834,48.47514121,388.9710759,54.38223437
150,858,Brazil,BRA,2019,2.3018,2411.472,512,44.543,6.654579083,55.98562168,397.8770566,54.92087661
151,859,Brazil,BRA,2020,2.1988,2485.046,513,46.054,7.958688663,57.01361507,396.7985,55.36807301
152,946,Bulgaria,BGR,2009,6.1303,492.406,558,4.851,0.003,0.237,3.47,0.008
153,947,Bulgaria,BGR,2010,6.4459,775.756,559,7.211,0.015,0.681,5.057,0.035
154,948,Bulgaria,BGR,2011,7.2068,527.197,560,4.578,0.101,0.861,2.917,0.056
155,949,Bulgaria,BGR,2012,6.5913,719.934,561,6.495,0.814,1.221,3.226,0.066
156,950,Bulgaria,BGR,2013,5.8546,943.747,562,9.078,1.361,1.374,4.08,0.111713
157,951,Bulgaria,BGR,2014,6.2406,1018.542,563,9.015,1.252,1.331,4.605,0.200792
158,952,Bulgaria,BGR,2015,6.7052,1215.322,564,10.004,1.383,1.452,5.661,0.270185
159,953,Bulgaria,BGR,2016,6.3622,984.347,565,8.509,1.386,1.425,3.942,0.353614
160,954,Bulgaria,BGR,2017,6.6994,863.082,566,7.134,1.402965,1.504064,2.828103,0.395981
161,955,Bulgaria,BGR,2018,6.1883,1330.193,567,10.894,1.342775,1.318123,5.146578,1.5921
162,956,Bulgaria,BGR,2019,6.0317,1072.839,568,9.037,1.4425,1.317,2.9658,1.8311
163,957,Bulgaria,BGR,2020,5.3888,1076.5,569,10.157,1.497319069,1.47723988,2.951120825,1.964135979
164,1069,Canada,CAN,1992,16.4227,11327.1,597,29.226,0.002052632,0.059,315.1746545,4.465
165,1070,Canada,CAN,1993,16.2531,11457.628,598,29.171,0.002052632,0.059,322.213898,4.817
166,1071,Canada,CAN,1994,16.5715,11560.677,599,28.662,0.002052632,0.059,327.8555808,5.733
167,1072,Canada,CAN,1995,16.8341,11701.367,600,28.611,0.003842105,0.059,334.0597343,7.137865803
168,1073,Canada,CAN,1996,17.211,12295.156,601,29.574,0.005894737,0.062,354.5920747,7.5285148
169,1074,Canada,CAN,1997,17.5265,12000.277,602,28.985,0.006947368,0.062,348.6796212,8.16821952
170,1075,Canada,CAN,1998,17.6199,11322.643,603,28.023,0.010105263,0.062,330.8699253,8.987253723
171,1076,Canada,CAN,1999,17.9434,11686.133,604,28.3,0.013263158,0.162,345.0007828,8.943148172
172,1077,Canada,CAN,2000,18.5218,11890.137,605,28.474,0.016421053,0.264,356.7600778,8.917042302
173,1078,Canada,CAN,2001,18.1037,10996.736,606,26.941,0.019578947,0.329,331.5210293,9.672149201
174,1079,Canada,CAN,2002,18.111,11452.211,607,27.272,0.022736842,0.405,349.2746394,10.04610406
175,1080,Canada,CAN,2003,18.4941,10920.97,608,25.941,0.022789474,0.69,336.1393646,9.417294047
176,1081,Canada,CAN,2004,18.254,10928.01,609,25.599,0.014263158,0.945,338.3983606,9.804526316
177,1082,Canada,CAN,2005,17.9035,11461.461,610,26.943,0.018473684,1.552,361.9557495,9.154255789
178,1083,Canada,CAN,2006,17.5618,11072.934,611,26.332,0.022684211,2.448,352.8872859,8.937625263
179,1084,Canada,CAN,2007,18.058,11396.02,612,26.458,0.028947368,2.977206,367.6214596,8.990656842
180,1085,Canada,CAN,2008,17.3788,11554.809,613,27.273,0.035,3.788514141,377.4877303,7.978966316
181,1086,Canada,CAN,2009,16.1977,11325.163,614,27.862,0.109,6.641651515,368.6874051,8.942056842
182,1087,Canada,CAN,2010,16.3644,10816.583,615,26.491,0.255,8.724191919,351.384803,10.29755789
